MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,other,city_total
"Lubbock, TX",0.7342353148031889,0.8874119674649326,0.7836454463140572,1.1055415967851452,1.0,0.729062090312987,0.6835859270246685,1.0,0.5702659485121911,0.8660254037843597,0.6441223618391606,0.7986475053725531,0.8491852199894772,0.8781722158426265,0.7436600722307615,0.6267831705279908,0.8944271909999089,0.7617011745069516,0.6697746866231407,0.7968190728896007,0.806225774829839,0.6979824404520831,0.73735291440961,0.8217911950596504,0.787237166326193
"Lynchburg, VA",0.6319291436511436,0.5477225575051449,0.6503887805479778,0.881917103688182,0.6593804733957638,0.7102848052045592,0.5206035318581527,0.7071067811865476,0.6896446592975014,0.6123724356956641,0.5457768229098025,0.6151246852292467,0.6856526248125316,0.6036611463900928,0.5967081414398504,0.5669467095138079,0.48304589153961985,0.6181225377690827,0.6037267439068588,0.7559289460184592,0.6708203932499432,0.7510676161987857,0.8418657043006669,0.7016826416074606,0.6633343173514622
"Madera, CA",0.37607306260792045,0.4609772228646001,0.4176087062548783,1.0,0.36115755925725307,0.4649905549752799,0.3057089202578592,0.0,0.4131969352706676,2.761340254296844,0.3718842189988796,0.3705364992781279,0.41868700096955325,0.31889640207160097,0.5149286505444364,0.37796447300919755,0.8164965809277388,0.43976837814361086,0.5719290198427492,0.47140452079100825,0.5773502691895929,0.4529108136578134,0.59119756689855,0.5558446170749819,0.48841935760257604
"Mankato-North Mankato, MN",0.42586898534506085,0.47434164902520776,0.4176087062548783,1.972026594366625,0.510753918455172,0.47457899787624813,0.4430143138127624,0.0,0.42292054645981697,1.0,0.4495860980662585,0.4496244679308724,0.4765413239857636,0.4602873089491317,0.49236596391731813,0.32732683535394286,0.5163977794943182,0.43976837814361086,0.4929408222145791,0.519462481649287,0.516397779494315,0.27735009811253314,0.45153460016436653,0.43160938173952346,0.4488417847027669
"Mansfield, OH",0.32886635310252976,0.43301270189218566,0.35779161854427183,0.6666666666666174,0.2085144140570787,0.4137283784938438,0.2368011113890912,0.49999999999996475,0.5296109939172542,0.8660254037843597,0.4495860980662585,0.33851823376969453,0.3570574741419222,0.42186028693738886,0.4174235549683034,0.5,0.5163977794943182,0.4120816918460325,0.41015155621477917,0.3563483225499014,0.46547466812560184,0.22645540682885265,0.5024213216673865,0.46788652744111997,0.4182326101814125
"McAllen-Edinburg-Mission, TX",0.9574995166887721,1.4958275301651807,0.9238139866898111,0.881917103688182,0.9555330859059228,1.0526671402243493,0.6835859270246685,2.179449471770329,0.8140034557765925,2.47487373415293,0.8872621047656577,0.923565359340085,1.1757848950900507,0.87333376460935,1.2792042981336498,0.9819805060619619,1.3416407864998925,1.0117237299087005,1.1840055569457915,1.1055415967851232,1.110555416597195,0.6405126152203515,1.5765268450628636,1.292593204083691,1.1329446400195635
"Medford, OR",0.507841997255413,0.6892024376045196,0.5431304848396524,1.0,0.9325048082402809,0.4244763599779738,0.4430143138127624,0.49999999999996475,0.517969770282789,1.0606601717797675,0.47265659343666,0.5250482603300914,0.5355862112129376,0.5599636792095493,0.5707517636920378,0.731925054711405,0.4472135954999019,0.4807619738203712,0.5959363950253881,0.5491696473652681,0.48304589153962635,0.27735009811253314,0.7307397502013115,0.6250980922609983,0.5728071439955279
"Memphis, TN-MS-AR",1.2704238290786436,1.3462912017836586,1.2733897030395327,1.054092553389466,1.793708812585772,1.1930731006201727,1.172105701590496,1.2247448713915603,1.2909944487358158,1.1726039399558672,1.1012565357112825,1.1968426932694225,1.205895213910502,1.3747110636328563,1.4394338112499907,1.3093073414159715,1.39044357430762,1.0924267602064242,1.0456853943348472,1.1818736805705652,1.4433756729740956,0.8623164985025784,1.1104097030996543,1.3600179798116823,1.2888085473315027
"Merced, CA",0.5271339642881634,0.6422616289332429,0.4911083221087923,1.414213562373137,0.36115755925725307,0.6437502733314988,0.43233770116709946,0.49999999999996475,0.6470696925307682,3.4095454242464878,0.6273890509696455,0.46961744062641453,0.6589863035049721,0.5674803065349974,0.7017294652672096,0.5345224838248558,0.6831300510639793,0.5230534443633589,0.5468687416197056,0.6424160744396057,0.46547466812560184,0.5063696835418297,0.7632327769721553,0.7330629218685217,0.6418098730028854
"Miami-Fort Lauderdale-West Palm Beach, FL",2.873077741230612,3.158322339470827,3.207134902949153,1.7320508075689456,5.970944139166334,2.6846242208561253,3.1251168202464514,1.2247448713915603,1.9159153706041172,4.500000000000056,2.1831072916392724,2.8590302646271706,2.9205959114687157,2.702792027841355,2.872281323269028,3.6154430670982927,4.560701700396633,2.63413728671895,2.7666235030225486,2.6726124191242655,3.425395354310777,2.917673818784513,2.9674610768666327,3.1162258069076136,2.9857907584952623
"Michigan City-La Porte, IN",0.3891199165863267,0.4873397172404542,0.3828416356618981,0.5773502691895576,0.36115755925725307,0.49319696191606266,0.3057089202578592,0.49999999999996475,0.450834817333692,0.49999999999995437,0.5359422007578661,0.31708128380672734,0.39418077839459703,0.41169348479625834,0.550481882563166,0.37796447300919755,0.5163977794943182,0.3698546374322833,0.4736022227782934,0.3563483225499014,0.4999999999999858,0.3580574370196797,0.3816163884860222,0.48436948288682563,0.4351468556352316
"Midland, TX",0.4038088211764008,0.5244044240850646,0.5023137559951568,0.0,0.510753918455172,0.45520018366337,0.421390666078298,1.802775637731985,0.38782277404120846,0.6123724356956641,0.3718842189988796,0.4361998054449815,0.46383126482703685,0.5125542550859759,0.46056618647182634,0.37796447300919755,0.6831300510639793,0.40047142031678007,0.43233770116709713,0.47140452079100825,0.42817441928879,0.27735009811253314,0.36867645720474757,0.45942334057526885,0.4512558570453967
"Milwaukee-Waukesha-West Allis, WI",1.2298289317344577,1.2298373876249056,1.2587357087234847,1.0,1.6939791077198512,1.0134234194190577,1.2151689240672325,0.8660254037844183,1.3510008334684878,1.6583123951777137,1.2247448713915892,1.2755496960240307,1.076736991934787,1.2108268641367612,1.148120994574103,1.1180339887499182,1.1547005383792697,1.0550865116992978,1.1519994807890903,1.2018504251546656,1.1547005383792597,1.300887271175976,1.2107928879357215,1.2405778723035146,1.228888144505337
"Minneapolis-St. Paul-Bloomington, MN-WI",1.8825762077633483,2.1679483388679257,2.101329202096745,3.073181485764439,2.774103850599926,1.8232729703268176,2.1334014786624294,1.4999999999999882,1.9359668074827188,2.5739075352467813,1.8363933199431777,2.111999180999029,1.8883159300797239,2.0210753975821616,1.8989630344113142,2.0177781274036906,1.914854215512698,1.7962224512402762,1.8494758034815173,1.9880595947760256,1.612451549659731,1.7097008285302195,2.0762176214574626,1.9472600137984843,1.9767781147715286
"Mobile, AL",0.678895060002514,0.9486832980505077,0.6546536707079829,0.6666666666666174,0.9088932591463592,0.7652356405615023,0.5959363950253989,0.8660254037844183,0.7650920556759928,1.1726039399558672,0.7787059642274531,0.6625095613792364,0.7495018265806983,0.6888949638271588,0.7929614610987467,0.906326967174974,0.8944271909999089,0.6551681333969456,0.6697746866231407,0.7453559924999262,0.7852812659593279,0.4529108136578134,0.7173305422161234,0.8280501673927327,0.7546225697143605
"Modesto, CA",0.7930647811422364,1.0124228365658523,0.7347711771332751,2.054804667656418,1.0632190661423713,0.9251247785330745,0.5719290198427524,0.49999999999996475,1.0040568117894515,3.5000000000000195,0.7579367289598584,0.7218594607546865,0.7652825429329448,0.6888949638271588,1.0075472768815805,0.8864052604279226,0.9660917830793044,0.8298670045754243,0.9715581473308043,0.8067178260046208,0.9219544457292872,0.7844645405527242,1.0287139676238595,0.9942004481921624,0.8995834309369007
"Monroe, LA",0.4297582805490698,0.5,0.4086268239623705,0.33333333333334964,0.510753918455172,0.4026936331283873,0.3617196725301219,0.8660254037844183,0.39302868179744455,0.49999999999995437,0.39946773096843835,0.4067006336427367,0.4327250813344824,0.4602873089491317,0.49999999999997397,0.32732683535394286,0.5773502691896076,0.4807619738203712,0.43233770116709713,0.3984095364447691,0.5322906474223762,0.27735009811253314,0.59119756689855,0.5169573871291395,0.4668092876821
"Monroe, MI",0.38265209910798587,0.5123475382979742,0.4220279690719832,0.33333333333334964,0.41702882811408654,0.6224045206996525,0.29002094671365647,0.49999999999996475,0.5100613704506618,1.0,0.46126560401440775,0.3890390100636712,0.4139018495197009,0.5207556439232787,0.43082021842764584,0.37796447300919755,0.3162277660167488,0.4063180276859665,0.4736022227782934,0.4542567625794597,0.516397779494315,0.3922322702763153,0.41803980857495227,0.4860720170743161,0.45091178085576283
"Montgomery, AL",0.6752087247387804,0.8062257748298477,0.7116835718867794,0.7453559924998947,0.8846517369293629,0.7533708035008806,0.626516850919419,0.49999999999996475,0.7808688094430137,1.4577379737112859,0.7071067811865476,0.6833937569417954,0.746839289474485,0.6888949638271588,0.7487363091276243,0.7071067811865476,0.8755950357709287,0.700404195972476,0.7794078749371275,0.5773502691895971,1.0165300454651336,0.5773502691896258,0.5745407621558495,0.8648919012374364,0.7745165164402216
"Mount Vernon-Anacortes, WA",0.5207827207798633,0.7245688373094639,0.5549574186810673,1.2018504251546849,0.8597269536210824,0.545249756806241,0.43233770116709946,0.49999999999996475,0.4641628533947111,1.4577379737112859,0.5259237061407784,0.5835585150955614,0.5280951260439513,0.47834460310742727,0.5935256753273008,0.5,0.40824829046385025,0.5230534443633589,0.5636993962616647,0.5909368402852615,0.5916079783099352,0.5547001962251986,0.59119756689855,0.6795532706611271,0.6063710585309398
"Muncie, IN",0.42391095665015077,0.44721359549991885,0.4198241526037086,0.7453559924998947,0.36115755925725307,0.43495883620080134,0.3206302205309441,0.0,0.5140307795029652,0.49999999999995437,0.47265659343666,0.4040337154783022,0.5166548856986849,0.4694027940381719,0.5037736384407645,0.37796447300919755,0.40824829046385025,0.49526055654364937,0.520603531858124,0.3984095364447691,0.516397779494315,0.6979824404520831,0.5993524013223238,0.45942334057526885,0.45621580130961525
"Muskegon, MI",0.46329500633524506,0.6123724356957945,0.45380273271832383,0.5773502691895576,0.6255432421712103,0.5851002840046641,0.4101515562147923,0.49999999999996475,0.677753342666734,0.9354143466934487,0.5259237061407784,0.3904259628052374,0.46810629773172074,0.47834460310742727,0.4885042104591911,0.5669467095138079,0.48304589153961985,0.4807619738203712,0.4534396063815943,0.519462481649287,0.48304589153962635,0.5063696835418297,0.5745407621558495,0.5498676195309736,0.5083502637823292
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.8024504898655893,0.8291561975888676,0.8993916723730433,0.7453559924998947,1.5463842820677434,0.821994936526784,0.8646754023342248,0.49999999999996475,0.5843487097907759,0.707106781186483,0.7365821009835443,0.7330056597989403,0.8791520724731581,0.8078009487994666,0.7150969419341802,0.8237544710479049,1.0327955589886364,0.8126360553719846,0.8807388571985535,0.8164965809277159,0.9398581453247845,1.0741723110591528,0.6535935021245133,0.9068558006680498,0.8435786978112255
"Napa, CA",0.4079085082239531,0.4873397172404542,0.5810872031479869,0.8164965809277018,0.9555330859059228,0.3676073110468898,0.4534396063815869,0.49999999999996475,0.3717679143145648,1.93649167310372,0.4125684985035144,0.5125453177063466,0.5243094490912535,0.5288298563329308,0.4082482904638206,0.6267831705279908,0.5477225575051261,0.5,0.4534396063815943,0.5909368402852615,0.46547466812560184,0.48038446141522223,0.47254732130627447,0.5189510597307582,0.5059018437026549
"Naples-Immokalee-Marco Island, FL",0.6994173948220535,0.8587782018658868,0.8921425711997665,0.6666666666666174,2.0955439264845226,0.6909974511367342,0.8203031124295846,0.8660254037844183,0.4463036991442988,1.7677669529663882,0.6014167670256249,0.725593885370098,0.7832916549619787,0.7364596943186349,0.7071067811865476,0.8237544710479049,0.8366600265340642,0.697028734417582,0.8592541864950812,0.7237468644557247,0.7852812659593279,0.9607689228305208,0.5993524013223238,0.9328995274380412,0.8293843002818136
