MET2013,city_total,city_coef,shifter,shifter_normalized
"Charleston, WV",-1.971079549578647e-16,0.0005768213484088085,-2926423484694.538,0.03681966898970709
"Charleston-North Charleston, SC",2.8362728832220796e-16,0.0022706678185216876,8005815773065.3545,0.2755603433483991
"Charlotte-Concord-Gastonia, NC-SC",-4.0852737859253807e-16,0.007060099654436035,-17281827423071.494,1.2840586505446916
"Chattanooga, TN-GA",2.92300905702092e-16,0.0015275937383123959,5226099914549.334,0.1174251030681888
"Cheyenne, WY",-9.898765834792655e-17,0.0003739070840168533,-3777310123880.563,0.061343820215018684
"Chicago-Naperville-Elgin, IL-IN-WI",2.6020852139652106e-17,0.021603328517364108,830231400625181.1,2963.492573059643
"Chico, CA",-1.1806961658367143e-16,0.0007707371052541398,-6527819159198.741,0.18320687305851047
"Cincinnati, OH-KY-IN",5.355958732078392e-16,0.00538074592736599,10046279660706.01,0.4339263868862111
"Clarksville, TN-KY",-4.281514379145257e-16,0.0008540842430347533,-1994818112009.375,0.017108508055063948
"Cleveland, TN",-2.765257640924279e-16,0.00046583623755950166,-1684603382575.9443,0.012201152908936214
"Cleveland-Elyria, OH",-4.137315490204685e-16,0.005269326006579414,-12736099093856.45,0.6973942977011324
"Coeur d'Alene, ID",2.4448758989548125e-17,0.00046350384936331187,18958174914377.47,1.5452494044602756
"College Station-Bryan, TX",-4.26633554873046e-16,0.0010315676697415402,-2417924370830.385,0.025135698497536642
"Colorado Springs, CO",2.68665298341908e-16,0.0019487285815902664,7253369131097.391,0.22619608948190975
"Columbia, SC",4.83554168928535e-16,0.0022834455709067223,4722212561968.823,0.09587306185158191
"Columbus, OH",-2.7668839441830073e-16,0.005481779312524621,-19812104241124.055,1.6875892171737947
"Corpus Christi, TX",3.4889625910583533e-16,0.0017679981292582153,5067403513552.448,0.11040189032057893
"Crestview-Fort Walton Beach-Destin, FL",-1.2555061157382141e-16,0.001192259393321675,-9496245206425.367,0.3877121164942085
"Dallas-Fort Worth-Arlington, TX",-4.874572967494828e-16,0.020926992403676348,-42930924499897.85,7.924028246197621
"Daphne-Fairhope-Foley, AL",-4.1362312880321994e-17,0.0005290030073729321,-12789492911181.082,0.7032539564921383
"Dayton, OH",4.367166350771612e-16,0.0021388364740963983,4897538363104.713,0.10312435048906958
"Decatur, AL",-1.550951207740514e-16,0.000519671522580913,-3350663257408.2754,0.048268866426736265
"Deltona-Daytona Beach-Ormond Beach, FL",-6.765421556309548e-17,0.001902052159260655,-28114318426865.34,3.398291677602212
"Denver-Aurora-Lakewood, CO",2.732189474663471e-16,0.00754366673057251,27610335229410.387,3.2775467296798895
"Des Moines-West Des Moines, IA",1.6653345369377348e-16,0.0012824329455876666,7700752714501.684,0.2549599048099936
"Detroit-Warren-Dearborn, MI",-2.0556473190325164e-16,0.008895211485193191,-43272070081455.87,8.050463340491438
"Dothan, AL",-3.6873715886232006e-16,0.0009661691151220812,-2620210878944.3477,0.029517394796705638
"Dover, DE",-3.2526065174565133e-18,0.0005133108753610391,-157815239133948.5,107.07877855749324
"East Stroudsburg, PA",2.697495005143935e-16,0.00042016197860090556,1557600580537.4465,0.010430802774765593
"El Centro, CA",8.402566836762659e-17,0.000625916966176849,7449116184811.001,0.2385695598158988
"Elkhart-Goshen, IN",-5.467631555844399e-16,0.0006019948618365889,-1101015779296.817,0.005211858537389274
"El Paso, TX",1.3205582460873444e-16,0.002179818980565716,16506799204232.438,1.1714702658418192
"Erie, PA",2.5825695748604716e-16,0.0007418360471986626,2872472650572.2183,0.035474586166307887
"Eugene, OR",-1.0354130747236567e-16,0.0012288763130055913,-11868464316365.412,0.605612164392132
"Fayetteville, NC",-1.566672139241554e-16,0.0010475232022624415,-6686294956196.5205,0.19221027275618502
"Fayetteville-Springdale-Rogers, AR-MO",-2.520770051028798e-16,0.001318607900195424,-5230972573865.921,0.1176441724584045
"Flagstaff, AZ",2.2020146123180595e-16,0.0006138585098993621,2787713153516.0596,0.033411940674449414
"Fort Collins, CO",-3.0682921481339775e-17,0.0011088645001833056,-36139469341525.26,5.615249729591363
"Fort Wayne, IN",2.3093506273941244e-16,0.0010945438190668507,4739617302297.382,0.09658108623731358
"Fresno, CA",9.475926987523309e-17,0.0031951365682238914,33718459127332.234,4.888110027427714
"Gainesville, FL",2.316940042601523e-16,0.0007700305003017463,3323480479180.3555,0.04748886583788742
"Gainesville, GA",1.973247953923618e-16,0.0006797008436112853,3444578985929.0825,0.05101264340830621
"Glens Falls, NY",-5.2800645800044066e-17,0.0006709108943373456,-12706490312222.389,0.6941554734722294
"Goldsboro, NC",3.235259282696745e-16,0.00042654781528191755,1318434715768.3428,0.007473478560239906
"Grand Junction, CO",8.256199543477116e-17,0.000580840846257644,7035208429725.303,0.21279404512949865
"Grand Rapids-Wyoming, MI",3.7730235602495554e-17,0.002120801803572359,56209609341323.195,13.583968536641406
"Greeley, CO",-8.023096076392733e-18,0.0010918722420605567,-136091133854584.7,79.62788819746503
"Greensboro-High Point, NC",-3.1051550219984847e-16,0.0017748920055297873,-5715952965167.783,0.14046975534402217
"Greenville, NC",1.209969624493823e-16,0.0004397780820710757,3634620846412.172,0.05679678583531869
"Greenville-Anderson-Mauldin, SC",-1.481020167615199e-16,0.0024365164599746106,-16451608919667.799,1.1636497681221996
"Gulfport-Biloxi-Pascagoula, MS",3.5475095083725705e-16,0.0010850071193650888,3058503766668.7993,0.04021828732687582
"Hanford-Corcoran, CA",2.3462135012586316e-16,0.0005313486682875035,2264707231470.88,0.02205106994362006
"Harrisburg-Carlisle, PA",4.946130310878871e-16,0.0016278678452626393,3291194818871.211,0.04657069448936842
"Harrisonburg, VA",1.9233746539892849e-16,0.000629932148131948,3275140112850.0957,0.04611745168097391
"Hartford-West Hartford-East Hartford, CT",-1.2793585635328952e-16,0.0027260199374458316,-21307708527920.754,1.951996469394626
"Hattiesburg, MS",3.436920886779049e-17,0.0005665974045147925,16485610905224.703,1.168464773205609
"Hickory-Lenoir-Morganton, NC",3.8055496254241206e-17,0.00116440915171992,30597660425730.2,4.025149117739806
"Homosassa Springs, FL",7.643625316022806e-17,0.0004631930432531661,6059860656463.712,0.15788134186028074
"Houston-The Woodlands-Sugar Land, TX",-1.0373646386341306e-15,0.01697483735881409,-16363423936605.732,1.1512082604313278
"Huntsville, AL",2.480654570646834e-16,0.0010444417071320978,4210347218394.6924,0.07621515872259131
"Indianapolis-Carmel-Anderson, IN",5.30825383648903e-16,0.005110525762023425,9627508253078.596,0.39850459393258425
"Iowa City, IA",-3.839159892771171e-16,0.0004296914792029166,-1119233090583.1536,0.005385755289264838
"Ithaca, NY",-1.7097868260096405e-16,0.00039000431318623205,-2281011335760.7134,0.02236971341306528
"Jackson, MI",-1.984089975648473e-17,0.0005676437517019486,-28609778723186.273,3.519123682990047
