COMZONE,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_child,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth
"Lancaster County, NE",0.8939874564952784,1.0019571368221432,0.8029290044553414,1.3889150781447304,0.9165667900322133,0.8431167728024778,0.674540570088202,,0.9351261895946757,1.4490784586584404,0.8817035142056815,1.1127142100155973,0.8829283358376663,1.0572690243021128,0.720469663709042,0.8729050077607766,0.8294642606502431,0.7105703301264955,1.2055986630509385,1.2284905710849225,1.672900102064555,1.3982866434404282,1.3153386162736826,0.9161394320413982
"Lancaster County, PA",0.9406492056499907,0.8179260193729262,1.1751976755081794,1.635710272672423,1.1653629732715567,0.8741358606649992,1.1139629134819937,1.1295919692670788,0.9927463014400487,1.035117127048872,1.0347565040157425,1.041097992459159,0.9293854228014731,1.2095824620194884,0.9222792028248641,0.5231583175983103,0.6714082054133889,0.7958804745026634,1.2001427251455472,1.1500747607391295,1.3868002729905076,0.8198109039357435,1.0830777471943727,0.9672602870630154
"Lane County, OR",0.9542255040935997,0.7735749430347724,1.3615506758369458,0.3758186302017556,1.1063957313000534,0.7843726268451495,1.2048271061174662,1.7086441294975425,0.8585220856428296,0.7081936677805037,0.9480775582710106,1.155068225949238,0.9243512574567961,1.16911042024765,0.7989870305347891,2.0497550661335717,1.4881690302709836,1.3384354715996758,0.7342048619774564,0.9835237190126966,1.0239561125003536,1.0268464827635668,0.8240669389675848,1.0091013157444242
"Larimer County, CO",1.1882393121708021,0.9660620074988955,1.1708062713359566,0.38152618061803045,1.3136838949805951,1.2860179640502076,1.3660113379019796,0.39155295131711115,1.0275133090091007,0.9776986785263229,1.166120920649703,1.2341906847306279,0.9944795089548486,0.7245003518438217,1.3017647121706062,0.4698017483230618,1.18048599179299,1.4779818452736577,1.3282724728729687,1.2903532832928282,0.638154977176437,0.8645213802892584,1.7841584665678851,1.1509011276956633
"Lee County, FL",1.2449855281573365,0.9776584599714959,1.0178156250988244,0.4189802249933917,1.0069460183043524,1.4047761433787938,0.9990766985525262,2.2240780878785693,1.5645382573564308,0.6581927991777936,1.5818122335666733,1.1228556695393928,0.909654341295064,1.1659661230950569,1.3265627129190087,0.5603062364554976,1.1682473166546665,1.4804389772915625,0.5318659040803184,1.0889142773492755,0.40257604233223215,1.1974990780276504,0.88093544367767,0.9993132067942232
"Leon County, FL",0.9658565448342594,1.305660152262083,0.9032904786028543,0.0689950803657354,0.7449053464677182,1.201467635669258,1.019977426346902,,1.6571095290903115,0.9988064377121715,2.4728088014446885,0.7388715116136924,1.8848165204277796,1.1401331586677632,1.8149523138350168,0.5319127751999495,1.6344390346168869,1.4236542728453447,0.7715306275067455,1.636342532440405,1.279526270079965,0.811370268724649,0.9979893297144381,0.7299460921726545
"Linn County, IA",0.9293717846769297,0.8616634945284063,1.0824058190384582,1.3520597421076008,0.9863154168767039,0.6731272759235526,1.0446556385793353,2.0835682297827782,0.7109827779558132,1.0955893856281216,0.8809002698963441,0.9099591939945659,0.6667519018543582,0.6297105277142699,0.9710724645701102,1.0348695738429818,1.3410200474138565,0.5836274273311354,1.038312388901648,1.2945833774117257,1.4800633524850886,0.9245315138127878,1.6097077295907718,0.9672011854439845
"Lorain County, OH",1.063955461724329,0.9284972828234693,1.0585896737250426,0.7671293584252726,1.0554351232812351,0.8941169786767842,1.1262035827153085,0.6294492429350863,0.9747349518669648,0.8308085391341303,0.8114941651329804,1.3187543578587198,0.7929297847585186,1.088449156837431,0.9828127245675002,1.256977604217684,1.2498005342767486,0.8115124514373249,1.3816667785771832,0.8598643507586881,1.5196479632249067,0.941371065654377,1.3979065705795695,0.8368873942747047
"Los Angeles County, CA",1.0258704285950686,1.1780640624363674,0.9513514905103287,0.36458386600308035,0.9962215191193609,1.3166627176242034,1.0158082296428554,1.079107426225893,1.5895185078123384,1.1286542571677987,1.21530932815378,0.9704021776879429,1.059794553986127,0.8704130210030157,1.3093640225842065,1.1405468994243704,1.068096301648574,1.6283029671031835,0.7187148985304703,0.9894358047749444,0.6444763167576627,0.7377944958202676,0.7860380082416663,1.2314923840483571
"Lowndes County, GA",1.0283623086740166,2.547235345996907,1.1804086917644585,7.478033041407457,0.7202170713184719,0.7156089542062292,1.0540911651365694,0.6906146863648629,1.2442143835618649,0.7581944099030034,1.0506882070788595,0.9396758604343725,1.0935962382334956,1.5488187104736961,0.9998260685284557,4.706024282499968,0.07470637222931559,0.5859262144256916,0.9239927207558853,1.328837527961227,0.5008140833794689,1.3737616640461607,0.7439983900607692,0.5644779319337911
"Lubbock County, TX",1.0997313474773387,1.023813836266648,1.0929559774777633,0.7056505307251032,0.8060682728768107,1.157987124641192,0.7986169905562517,0.4203249167396568,1.4764973224436768,0.991862709305521,0.9614465527662358,1.0489603369496103,0.86558127875919,1.5823440506309512,0.9714349795391876,1.0743741125049757,1.3943678118438039,1.6047991868685205,0.9224081824939135,0.5415116119211042,1.2376235661706319,1.1664164898277616,0.8248053065230255,1.3080721546979182
"Lucas County, OH",0.9281612037067519,0.5240701996312662,1.1634261515686823,2.5081478347664183,1.2181561566503203,0.5234007313480628,0.8158329809766113,0.8837259984075191,0.4446670528093876,0.5073085026692173,0.504478922144553,1.0276897513152567,1.3615358837009124,0.9239631950850776,0.7224420593705743,2.8787742898676423,1.6843142306830985,2.4194883959919453,1.751242738539147,0.633378742311831,1.7290368118074415,0.848003583291964,0.6186315757290286,1.2216363405232895
"Madison County, IL",1.0145769146697998,0.7525601875559186,1.1136558789018403,1.259300366624886,1.4092311491167806,0.9552586661038502,1.1414107418939259,4.4223285244881065,0.8705391278629646,0.8279549261541953,0.9862138084732935,1.108266981711433,1.1707442767196545,1.3277905856376542,0.8042099871971187,0.674873874275765,1.1195589013311067,0.9297410002132199,1.1619680882828485,0.9340994399437315,0.6026150564650172,0.7522397973009888,0.3762800051345389,1.0729992616470483
