city_year,occ_year,shares,city_year_coeff,occ_year_coeff,residuals
"(Lancaster, PA)_2013",(occ2_professional)_2013,-6.17487677236495,0.20508483075560768,-0.4392200590578619,0.04871523820959389
"(Lansing-East Lansing, MI)_2013",(occ2_professional)_2013,-6.263140673588446,0.10053061088058479,-0.4392200590578619,0.06500555686112097
"(Laredo, TX)_2013",(occ2_professional)_2013,-7.59426984456996,-0.6210091091328467,-0.4392200590578619,-0.5445838941069621
"(Las Cruces, NM)_2013",(occ2_professional)_2013,-7.1236678309441475,-0.6860119376920504,-0.4392200590578619,-0.008979051921945036
"(Las Vegas-Henderson-Paradise, NV)_2013",(occ2_professional)_2013,-5.215843872925004,1.5530352235587537,-0.4392200590578619,-0.34020225515360547
"(Lawrence, KS)_2013",(occ2_professional)_2013,-7.065215527610034,-1.306847396589868,-0.4392200590578619,0.6703087103099854
"(Lebanon, PA)_2013",(occ2_professional)_2013,-7.740383386852569,-1.0271268934649904,-0.4392200590578619,-0.2845796520574275
"(Lewiston-Auburn, ME)_2013",(occ2_professional)_2013,-7.737539528051097,-1.4971517040045628,-0.4392200590578619,0.18828901728361735
"(Lima, OH)_2013",(occ2_professional)_2013,-8.074702770112681,-1.4805188578847592,-0.4392200590578619,-0.16550707089777106
"(Lincoln, NE)_2013",(occ2_professional)_2013,-6.5248778945454475,-0.19196042151917947,-0.4392200590578619,0.09575936830388354
"(Little Rock-North Little Rock-Conway, AR)_2013",(occ2_professional)_2013,-5.876546727083779,0.3679041037321129,-0.4392200590578619,0.18422601051425946
"(Los Angeles-Long Beach-Anaheim, CA)_2013",(occ2_professional)_2013,-2.996934205873994,3.3169320282426,-0.4392200590578619,0.11481060721355796
"(Louisville/Jefferson County, KY-IN)_2013",(occ2_professional)_2013,-5.365406034429666,1.0117398064372813,-0.4392200590578619,0.05153100046320347
"(Lubbock, TX)_2013",(occ2_professional)_2013,-6.7078159530543084,-0.3159830651275346,-0.4392200590578619,0.03684395340337776
"(Lynchburg, VA)_2013",(occ2_professional)_2013,-6.947471676138919,-0.45799922153110506,-0.4392200590578619,-0.06079561327766214
"(Madera, CA)_2013",(occ2_professional)_2013,-8.289147705186465,-1.1907602807248003,-0.4392200590578619,-0.6697105831315131
"(Manchester-Nashua, NH)_2013",(occ2_professional)_2013,-6.3980685811812,-0.2131178407863823,-0.4392200590578619,0.24372610093533353
"(Mansfield, OH)_2013",(occ2_professional)_2013,-7.967634036870279,-1.3026209127806871,-0.4392200590578619,-0.23633628275943952
"(McAllen-Edinburg-Mission, TX)_2013",(occ2_professional)_2013,-6.299932684762434,0.529616091878415,-0.4392200590578619,-0.40087193531069776
"(Medford, OR)_2013",(occ2_professional)_2013,-7.2125844024315855,-0.7625513334051002,-0.4392200590578619,-0.02135622769633372
"(Memphis, TN-MS-AR)_2013",(occ2_professional)_2013,-5.419176577027412,0.9723640873915587,-0.4392200590578619,0.037136176911181096
"(Merced, CA)_2013",(occ2_professional)_2013,-7.627469878324726,-0.5597058085350213,-0.4392200590578619,-0.6390872284595535
"(Miami-Fort Lauderdale-West Palm Beach, FL)_2013",(occ2_professional)_2013,-3.9932727844129663,2.52922031326322,-0.4392200590578619,-0.09381625634603452
"(Michigan City-La Porte, IN)_2013",(occ2_professional)_2013,-7.9016534587116265,-1.4197316416841357,-0.4392200590578619,-0.053244975697339214
"(Midland, TX)_2013",(occ2_professional)_2013,-7.613135161876989,-1.0121100896555912,-0.4392200590578619,-0.17234823089124607
"(Milwaukee-Waukesha-West Allis, WI)_2013",(occ2_professional)_2013,-5.018857074326207,1.2664447941276076,-0.4392200590578619,0.1433749728763365
"(Minneapolis-St. Paul-Bloomington, MN-WI)_2013",(occ2_professional)_2013,-4.067895627419652,2.1093727012698746,-0.4392200590578619,0.2514085126406247
"(Mobile, AL)_2013",(occ2_professional)_2013,-6.739079373015994,-0.23103075565926723,-0.4392200590578619,-0.07937177602657552
"(Modesto, CA)_2013",(occ2_professional)_2013,-6.582040336574664,0.19778522606403515,-0.4392200590578619,-0.35114872130854735
"(Monroe, LA)_2013",(occ2_professional)_2013,-7.498451921672727,-1.0893753020608377,-0.4392200590578619,0.019600221718262034
"(Monroe, MI)_2013",(occ2_professional)_2013,-7.757931783438026,-1.1651966809463676,-0.4392200590578619,-0.16405826116150646
"(Montgomery, AL)_2013",(occ2_professional)_2013,-6.686877323637886,-0.16308883042429123,-0.4392200590578619,-0.0951116518834434
"(Morgantown, WV)_2013",(occ2_professional)_2013,-7.366349214107471,-1.0457129003780308,-0.4392200590578619,0.10804052760071148
"(Muncie, IN)_2013",(occ2_professional)_2013,-7.76350895511525,-1.27182210594767,-0.4392200590578619,-0.06301000783742783
"(Muskegon, MI)_2013",(occ2_professional)_2013,-7.570674388895427,-0.873777059631939,-0.4392200590578619,-0.26822048793333675
"(Myrtle Beach-Conway-North Myrtle Beach, SC-NC)_2013",(occ2_professional)_2013,-6.766573400392724,0.007170141745033387,-0.4392200590578619,-0.3450667008076058
"(Napa, CA)_2013",(occ2_professional)_2013,-7.589757560868747,-1.0385456467766518,-0.4392200590578619,-0.1225350727619432
"(Naples-Immokalee-Marco Island, FL)_2013",(occ2_professional)_2013,-7.127622132752258,-0.37238960061816506,-0.4392200590578619,-0.3265556908039411
"(Nashville-Davidson--Murfreesboro--Franklin, TN)_2013",(occ2_professional)_2013,-4.909350228454383,1.406939802215768,-0.4392200590578619,0.11238681066000034
"(New Haven-Milford, CT)_2013",(occ2_professional)_2013,-5.520748292163884,0.6350479743433781,-0.4392200590578619,0.2728805748228895
"(New Orleans-Metairie, LA)_2013",(occ2_professional)_2013,-5.36195394742247,1.0470254549373035,-0.4392200590578619,0.019697438970378123
"(New York-Newark-Jersey City, NY-NJ-PA)_2013",(occ2_professional)_2013,-2.434801446090517,3.7623613655203627,-0.4392200590578619,0.2315140297192717
"(Niles-Benton Harbor, MI)_2013",(occ2_professional)_2013,-7.433245114098585,-1.024409550698218,-0.4392200590578619,0.019841277929784518
"(North Port-Sarasota-Bradenton, FL)_2013",(occ2_professional)_2013,-6.058252559988958,0.433396645693771,-0.4392200590578619,-0.0629723643525768
"(Norwich-New London, CT)_2013",(occ2_professional)_2013,-6.5576159789578305,-0.3310515744392353,-0.4392200590578619,0.20211243681155633
"(Ocala, FL)_2013",(occ2_professional)_2013,-7.089407697283299,-0.4270151917202387,-0.4392200590578619,-0.2337156642329088
"(Ocean City, NJ)_2013",(occ2_professional)_2013,-7.803035347122189,-1.3478870073854683,-0.4392200590578619,-0.02647149840656926
"(Odessa, TX)_2013",(occ2_professional)_2013,-7.988722390367928,-1.032416851193057,-0.4392200590578619,-0.5276286978447198
"(Ogden-Clearfield, UT)_2013",(occ2_professional)_2013,-6.119694351178106,0.08523808578968861,-0.4392200590578619,0.22374440436235687
"(Oklahoma City, OK)_2013",(occ2_professional)_2013,-5.234549615474301,1.1528444374535693,-0.4392200590578619,0.041282788402281057
"(Olympia-Tumwater, WA)_2013",(occ2_professional)_2013,-6.8995277673401985,-0.5591633727644947,-0.4392200590578619,0.08831244675444783
"(Omaha-Council Bluffs, NE-IA)_2013",(occ2_professional)_2013,-5.466556077715257,0.8434437771100987,-0.4392200590578619,0.11867698650479586
"(Orlando-Kissimmee-Sanford, FL)_2013",(occ2_professional)_2013,-4.9093093912925605,1.5406781348131042,-0.4392200590578619,-0.021310684775513344
"(Oshkosh-Neenah, WI)_2013",(occ2_professional)_2013,-7.475570909125797,-0.9567542128637654,-0.4392200590578619,-0.0901398549318797
"(Owensboro, KY)_2013",(occ2_professional)_2013,-8.031869895541803,-1.534438605016716,-0.4392200590578619,-0.06875444919493567
"(Oxnard-Thousand Oaks-Ventura, CA)_2013",(occ2_professional)_2013,-5.710001442187659,0.7557973849528494,-0.4392200590578619,-0.03712198581035686
"(Palm Bay-Melbourne-Titusville, FL)_2013",(occ2_professional)_2013,-6.199185418659226,0.15743051488515603,-0.4392200590578619,0.07206090778576879
"(Parkersburg-Vienna, WV)_2013",(occ2_professional)_2013,-7.989413304870071,-1.5608790969662905,-0.4392200590578619,0.00014263342637121923
"(Pensacola-Ferry Pass-Brent, FL)_2013",(occ2_professional)_2013,-6.401775273579938,0.023258771309614623,-0.4392200590578619,0.00364279644059895
"(Philadelphia-Camden-Wilmington, PA-NJ-DE-MD)_2013",(occ2_professional)_2013,-3.606419523499401,2.559977076046707,-0.4392200590578619,0.2622802417840435
"(Phoenix-Mesa-Scottsdale, AZ)_2013",(occ2_professional)_2013,-4.157251513581143,2.2308479314181238,-0.4392200590578619,0.04057739633088442
"(Pittsburgh, PA)_2013",(occ2_professional)_2013,-4.575614637633932,1.6643289081863737,-0.4392200590578619,0.18873329550984597
"(Pittsfield, MA)_2013",(occ2_professional)_2013,-7.418799762725107,-1.0850893325086939,-0.4392200590578619,0.09496641111373894
"(Port St. Lucie, FL)_2013",(occ2_professional)_2013,-6.604255054914889,-0.0932408553639994,-0.4392200590578619,-0.0823373582207374
"(Portland-South Portland, ME)_2013",(occ2_professional)_2013,-5.990688366587711,0.19875160491177724,-0.4392200590578619,0.2392368698306635
"(Portland-Vancouver-Hillsboro, OR-WA)_2013",(occ2_professional)_2013,-4.5161371562460895,1.665899801898105,-0.4392200590578619,0.2466398831859573
"(Prescott, AZ)_2013",(occ2_professional)_2013,-7.213402026824171,-0.6859616416074115,-0.4392200590578619,-0.09876354388660769
"(Providence-Warwick, RI-MA)_2013",(occ2_professional)_2013,-4.957785845553978,1.3145320508532135,-0.4392200590578619,0.15635894492296032
"(Provo-Orem, UT)_2013",(occ2_professional)_2013,-6.060516852505414,0.11646103895574145,-0.4392200590578619,0.251698949868997
"(Pueblo, CO)_2013",(occ2_professional)_2013,-7.645927243823733,-1.1531662610888587,-0.4392200590578619,-0.06408414140472285
"(Punta Gorda, FL)_2013",(occ2_professional)_2013,-7.7062586457997755,-1.1102948283783074,-0.4392200590578619,-0.16728697609131604
"(Racine, WI)_2013",(occ2_professional)_2013,-7.388461098219698,-0.9436441576217032,-0.4392200590578619,-0.016140099267842878
"(Raleigh, NC)_2013",(occ2_professional)_2013,-5.016490544434026,0.9991647913760806,-0.4392200590578619,0.413021505520045
"(Reading, PA)_2013",(occ2_professional)_2013,-6.519301016109925,-0.006520602695731625,-0.4392200590578619,-0.08410357208404218
"(Redding, CA)_2013",(occ2_professional)_2013,-7.469740675597294,-0.958666481320809,-0.4392200590578619,-0.08239735294633377
"(Reno, NV)_2013",(occ2_professional)_2013,-6.505034538691449,-0.006444320420269545,-0.4392200590578619,-0.0699133769410274
"(Richmond, VA)_2013",(occ2_professional)_2013,-5.245399654339704,1.0841774004063738,-0.4392200590578619,0.09909978658407415
"(Riverside-San Bernardino-Ontario, CA)_2013",(occ2_professional)_2013,-4.470327574508414,2.2093873575323926,-0.4392200590578619,-0.2510380907106553
"(Roanoke, VA)_2013",(occ2_professional)_2013,-6.562462839766251,-0.2437508237794166,-0.4392200590578619,0.10996482534331697
"(Rochester, NY)_2013",(occ2_professional)_2013,-5.2152214055305155,0.9603032445563757,-0.4392200590578619,0.2531521912432604
"(Rockford, IL)_2013",(occ2_professional)_2013,-6.750198023666086,-0.2654097090774621,-0.4392200590578619,-0.05611147325847288
"(Rocky Mount, NC)_2013",(occ2_professional)_2013,-7.872244816443423,-1.0386814377994602,-0.4392200590578619,-0.4048865373138115
"(Sacramento--Roseville--Arden-Arcade, CA)_2013",(occ2_professional)_2013,-4.740702638008849,1.5726940628168278,-0.4392200590578619,0.11528014050447499
"(Saginaw, MI)_2013",(occ2_professional)_2013,-7.273279972097124,-0.8921215114841949,-0.4392200590578619,0.047518380717222364
"(Salinas, CA)_2013",(occ2_professional)_2013,-6.591950305704613,0.14581064275096933,-0.4392200590578619,-0.30908410712543155
"(Salisbury, MD-DE)_2013",(occ2_professional)_2013,-6.706802351532049,-0.048035207462169716,-0.4392200590578619,-0.23009030273972808
"(Salt Lake City, UT)_2013",(occ2_professional)_2013,-5.320555907884589,0.9008069639770051,-0.4392200590578619,0.20731396946855707
"(San Angelo, TX)_2013",(occ2_professional)_2013,-7.788069634699829,-1.1893120810483748,-0.4392200590578619,-0.17008071232130284
"(San Antonio-New Braunfels, TX)_2013",(occ2_professional)_2013,-4.883439084325049,1.5589382230766966,-0.4392200590578619,-0.013700466071593809
"(San Diego-Carlsbad, CA)_2013",(occ2_professional)_2013,-4.31036180560624,1.8927668627023153,-0.4392200590578619,0.2255481730215969
"(San Francisco-Oakland-Hayward, CA)_2013",(occ2_professional)_2013,-3.7437826900476883,2.2923032125847485,-0.4392200590578619,0.3925909386977149
"(San Jose-Sunnyvale-Santa Clara, CA)_2013",(occ2_professional)_2013,-4.519874044683776,1.3263360351393274,-0.4392200590578619,0.5824667615070478
"(San Luis Obispo-Paso Robles-Arroyo Grande, CA)_2013",(occ2_professional)_2013,-6.720198731482698,-0.23743805338670043,-0.4392200590578619,-0.05408383676584627
"(Santa Cruz-Watsonville, CA)_2013",(occ2_professional)_2013,-6.622459592466842,-0.414491238435458,-0.4392200590578619,0.22070848729876769
"(Santa Fe, NM)_2013",(occ2_professional)_2013,-7.1952991323140845,-1.2014136384668883,-0.4392200590578619,0.4347913474829559
"(Santa Maria-Santa Barbara, CA)_2013",(occ2_professional)_2013,-6.446411447349734,0.15397166593401757,-0.4392200590578619,-0.17170627195359955
"(Santa Rosa, CA)_2013",(occ2_professional)_2013,-6.284611357985323,0.2107627770933136,-0.4392200590578619,-0.06669729374848465
"(Scranton--Wilkes-Barre--Hazleton, PA)_2013",(occ2_professional)_2013,-6.3571918950012485,0.1446061029682948,-0.4392200590578619,-0.07312115663939167
"(Seattle-Tacoma-Bellevue, WA)_2013",(occ2_professional)_2013,-4.00735742129277,2.0811976854270107,-0.4392200590578619,0.34012173461037065
"(Sebastian-Vero Beach, FL)_2013",(occ2_professional)_2013,-7.857685472912817,-1.1672579088964135,-0.4392200590578619,-0.2617507226862523
"(Sheboygan, WI)_2013",(occ2_professional)_2013,-7.921935535283569,-1.3826022073580608,-0.4392200590578619,-0.11065648659535654
"(Shreveport-Bossier City, LA)_2013",(occ2_professional)_2013,-6.468905886789632,-0.0868157388840487,-0.4392200590578619,0.046586693424568004
"(Spartanburg, SC)_2013",(occ2_professional)_2013,-6.978207415910534,-0.4877428680237039,-0.4392200590578619,-0.061787706556678756
"(Spokane-Spokane Valley, WA)_2013",(occ2_professional)_2013,-6.064426925913256,0.33197501096206183,-0.4392200590578619,0.03227490445483383
"(Springfield, IL)_2013",(occ2_professional)_2013,-6.955831144906144,-0.7067200595833736,-0.4392200590578619,0.17956575600738134
"(Springfield, MA)_2013",(occ2_professional)_2013,-6.038634638128836,0.3090380846642473,-0.4392200590578619,0.08100411853706824
"(Springfield, MO)_2013",(occ2_professional)_2013,-6.380548226300189,-0.10423845897044792,-0.4392200590578619,0.15236707400041016
"(Springfield, OH)_2013",(occ2_professional)_2013,-7.871718038555913,-1.1378290080415172,-0.4392200590578619,-0.3052121891842434
"(St. George, UT)_2013",(occ2_professional)_2013,-7.4453202166751575,-1.162809577622875,-0.4392200590578619,0.14616620227786914
"(St. Joseph, MO-KS)_2013",(occ2_professional)_2013,-7.967923905948108,-1.2149692767666895,-0.4392200590578619,-0.32427778785126726
"(St. Louis, MO-IL)_2013",(occ2_professional)_2013,-4.4357508202426565,1.869208719809949,-0.4392200590578619,0.1237173012775461
"(State College, PA)_2013",(occ2_professional)_2013,-7.070204244624292,-0.9234146307088267,-0.4392200590578619,0.2818872274146864
"(Stockton-Lodi, CA)_2013",(occ2_professional)_2013,-6.375090030895389,0.4517850870101312,-0.4392200590578619,-0.39819827657536866
"(Syracuse, NY)_2013",(occ2_professional)_2013,-5.802842965892747,0.4586307840450985,-0.4392200590578619,0.16720309139230594
"(Tampa-St. Petersburg-Clearwater, FL)_2013",(occ2_professional)_2013,-4.571104085657017,1.797344560509403,-0.4392200590578619,0.06022819516373179
"(Toledo, OH)_2013",(occ2_professional)_2013,-6.0314875046595615,0.4462213586080175,-0.4392200590578619,-0.049032021937427395
"(Topeka, KS)_2013",(occ2_professional)_2013,-7.059238363609157,-0.6417612480460475,-0.4392200590578619,0.011199725767042423
"(Trenton, NJ)_2013",(occ2_professional)_2013,-6.228994932177885,-0.0728227070864147,-0.4392200590578619,0.27250461623868105
"(Tucson, AZ)_2013",(occ2_professional)_2013,-5.494209015687388,0.893705403103493,-0.4392200590578619,0.04076242253927109
"(Tuscaloosa, AL)_2013",(occ2_professional)_2013,-7.095528110993235,-0.8268159398538852,-0.4392200590578619,0.15996467019080196
"(Tyler, TX)_2013",(occ2_professional)_2013,-7.1237093738475865,-0.7706309684849284,-0.4392200590578619,0.0755984359674935
"(Urban Honolulu, HI)_2013",(occ2_professional)_2013,-5.636328083462248,0.7781549965021513,-0.4392200590578619,0.014193761365753232
"(Utica-Rome, NY)_2013",(occ2_professional)_2013,-6.918328904263444,-0.43187438794694977,-0.4392200590578619,-0.05777767498634301
"(Vallejo-Fairfield, CA)_2013",(occ2_professional)_2013,-6.605986400107581,-0.09649019229991218,-0.4392200590578619,-0.08081936647751764
"(Virginia Beach-Norfolk-Newport News, VA-NC)_2013",(occ2_professional)_2013,-4.995509320892682,1.2909358134326117,-0.4392200590578619,0.142231707004858
"(Visalia-Porterville, CA)_2013",(occ2_professional)_2013,-6.94973826241135,-0.01624058958417196,-0.4392200590578619,-0.5048208314970273
"(Waco, TX)_2013",(occ2_professional)_2013,-6.981517366764797,-0.5437956928413419,-0.4392200590578619,-0.009044832593303909
"(Washington-Arlington-Alexandria, DC-VA-MD-WV)_2013",(occ2_professional)_2013,-3.397907338083757,2.5752496447386406,-0.4392200590578619,0.455519858507754
"(Wausau, WI)_2013",(occ2_professional)_2013,-7.685789664332853,-1.0317804743389272,-0.4392200590578619,-0.22533234866377505
"(Wenatchee, WA)_2013",(occ2_professional)_2013,-8.201681179738426,-1.2526944892753118,-0.4392200590578619,-0.5203098491329623
"(Wichita Falls, TX)_2013",(occ2_professional)_2013,-7.586320677115537,-1.1682889347270966,-0.4392200590578619,0.010645098941711062
"(Wichita, KS)_2013",(occ2_professional)_2013,-5.985071386181782,0.193432556312243,-0.4392200590578619,0.2501728988361265
"(Wilmington, NC)_2013",(occ2_professional)_2013,-6.79102478405131,-0.44749496836417224,-0.4392200590578619,0.08514702564301313
"(Winston-Salem, NC)_2013",(occ2_professional)_2013,-6.0496719973588,0.292082638319731,-0.4392200590578619,0.08692220565162057
"(Worcester, MA-CT)_2013",(occ2_professional)_2013,-5.419569516217572,0.8027579342343678,-0.4392200590578619,0.2063493908782119
"(Yakima, WA)_2013",(occ2_professional)_2013,-7.474921424262532,-0.5303992199678635,-0.4392200590578619,-0.5158453629645168
