MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,city_total
"Grand Junction, CO",-0.00018095636844014403,-0.00017837912008070682,-0.0005048854186382758,0.001088928826102545,-0.0005853655190650785,1.3373687090508684e-05,-0.0007310986097965805,0.0036847633404463783,1.7795874037195784e-05,0.00038312850464956427,-6.955743535461394e-06,-0.0005389860537217048,-0.0003980692493377884,-0.00017677021313121285,6.130143823073375e-05,-0.00038928857965717497,-0.00022095198476674454,-0.00016203055137235778,4.541236369874722e-05,-0.0005701671407176234,-0.00023312314859626947,-0.0003296560959287439,-8.802023746972321e-05,8.256199543477116e-17
"Grand Rapids-Wyoming, MI",0.00012299443307034084,-0.00010955396014702187,-0.00016286915928319075,0.0003009889253773319,-0.0008290941915542933,-0.00011699830636600645,0.00017040781738850456,-0.000339228844689437,0.0016039956199538805,-0.00033530852578075084,0.0007073168597392233,-0.00026559336475681997,0.00011672912966019652,0.0009791494552730722,8.865861733831863e-05,-0.0007013349452534901,-0.00032359593383015934,0.00046730341426362695,-0.00024888798508016776,0.0007580321365194612,-0.0011579158134423844,-0.000455115795909059,-0.0002700795824911381,3.7730235602495554e-17
"Greeley, CO",-3.662153670885675e-05,0.00023296019133878048,-0.00034938321687058853,0.0020819395434787343,-0.0006643194865927911,0.00017894499393949603,-0.0007413161831379932,0.0010445623207967654,0.000280566632499483,0.0006936210357310515,0.00041669506871092575,-0.00037080330663571753,-0.0003012343414816011,-0.00013832275528442546,6.055966823972111e-05,-0.0009685374527777877,-0.0006255154540324572,-3.238935335037052e-05,-5.7205717830065414e-05,-0.00031635580730673626,-0.00021686743656898217,4.992441103444348e-05,-0.000220901817191036,-8.023096076392733e-18
"Greensboro-High Point, NC",0.00021342248139611265,0.00012910343007894987,-0.000312404120932119,0.0008349039875673037,-0.00018073019371912195,3.377257459265433e-06,-0.0005270445146970237,-0.0003481806506213651,0.0008768997640820526,-0.000537081345661079,0.0008882827387142953,-0.000400000110127848,0.0003855854525910687,-0.00025469245092735616,4.4671593393906094e-06,-0.0003554251472109183,-0.0005100257684732877,0.000363618409622199,7.660114724870404e-05,-7.519060630926683e-05,-0.00028471890756961277,0.0004146833567019127,-0.00040545136855256654,-3.1051550219984847e-16
"Greenville, NC",3.4159076823724326e-05,-0.00014456876371063838,-0.0003139217434036074,0.0015119994865101154,-0.0005307182405335101,0.00015443645127707705,-0.0006735048160203121,0.0009869332728373464,0.00024139753467876417,0.0003188102871150968,0.0002715602865407069,-0.00022018500915303653,-9.433803769321998e-05,5.0148621938055494e-05,5.656716647100212e-05,-0.0002482258154706066,-0.0004525269634600762,-0.0001446063579238894,-3.8152194965384396e-05,-0.0002378936942275551,-6.276665619690109e-05,-0.00034576013811267556,-0.00011884375332035487,1.209969624493823e-16
"Greenville-Anderson-Mauldin, SC",0.0002441905950242894,0.00015389438566012657,-0.00014709919229474256,-0.0003907362593197196,-0.00019423850575124536,0.0005633965716914419,-0.0006878551466803469,-0.00030008189711728844,0.001504945566745929,-0.0005825628549427024,0.001023887226429172,-0.0002618023028530714,0.0005116187437327452,0.0001654695877507206,0.00011556699540976687,-0.0002666573511612416,-0.0011716502229181113,0.0003314266789350758,0.00023180332135198066,-9.944611974258997e-05,-0.0001847064284819359,-0.00035171896865661065,-0.00020764442281179024,-1.481020167615199e-16
"Gulfport-Biloxi-Pascagoula, MS",-7.048538860588891e-05,0.00015402338778104847,-0.0004316268639038206,0.0009607730812898022,-0.0006142466210698231,0.0002797827142255639,-0.0006927165752374252,0.0010514274434922333,9.140187611445102e-05,0.0002897241949843195,1.12003937375938e-05,-0.0005649517153248497,-0.0001488237657972331,-2.843034752965769e-05,0.00011845375351638896,-0.0006888024208116198,-8.631069865138938e-05,1.9435249613497562e-05,-0.00015244392370319753,-0.0004369644728135683,0.0005516346196589859,0.0008426235655824114,-0.000454677486547468,3.5475095083725705e-16
"Hanford-Corcoran, CA",-0.00020181423749350352,-0.00010743646054726626,-0.0006086603246014352,0.0019844446927358875,-0.0009679507693700085,0.00017563298216934922,-0.0008485443726469399,0.0005405010826465186,0.00017046167257603632,0.0035817957356765046,-1.244487192112088e-05,-0.0006883914752268644,-0.0003571385686023479,-0.00026464774857357234,4.518495002507427e-05,-0.0007491012655931456,-0.000224693770065104,-0.00041601486521391725,-7.1987868996122376e-06,-0.00042506962159568294,-0.00012504351420052897,-0.0004897196597859034,-4.150803492182693e-06,2.3462135012586316e-16
"Harrisburg-Carlisle, PA",0.0002419623519395607,-0.00013143155935680198,-0.00030082529065257103,0.0013579386761292517,-0.0015891847752425735,0.0003571411324256133,-0.0005678255378529756,0.00015370511362028285,0.00038424747682330057,0.001047609686653669,0.00010062469093214321,-0.00048572845988490007,-0.00014374866867808357,0.000201413564517792,0.0005086940576748387,-0.00034483594157917025,-0.0002565336816689398,-0.0003660672953446529,0.0003869906332255521,-0.0003105878106490188,-0.0005771006704943648,0.000299762839684861,3.377946777768145e-05,4.946130310878871e-16
"Harrisonburg, VA",-0.000141184453021648,-9.876753257511079e-05,-0.0004969471078861798,0.001979863844965143,-0.0010233265063869824,7.70495023249047e-05,-0.0008427916394785845,0.000796779206776474,0.0003194948820964918,0.0006763388389770602,0.0001638781800136346,-0.0005605702407750089,-0.00015606964523449235,-0.00031171758588831685,-3.152897442747026e-05,-0.000711249790802279,0.0002090623827760515,0.0002834324297058383,-3.6789381755567875e-06,-1.3757948630927484e-05,-0.00045797681974727345,0.000721420246790452,-0.00037775233139602724,1.9233746539892849e-16
